epoch,lane,head,cum_root_ms,win_root_ms
1784412353,JMT,3452,15.3161,10.8180
1784412379,MPT,3588,13.0599,15.6009
1784412379,JMT,3536,16.1841,46.7072
1784412383,MPT,3602,13.0651,15.5155
1784412383,JMT,3551,16.1615,45.6414
1784412409,MPT,3699,13.0993,14.3730
1784412409,JMT,3648,16.0235,10.9536
1784412413,MPT,3713,13.1061,14.4351
1784412413,JMT,3663,16.0032,10.9839
1784412439,MPT,3809,13.1462,14.7236
1784412439,JMT,3760,15.8685,10.8196
1784412443,MPT,3824,13.1515,14.6712
1784412443,JMT,3775,15.8436,10.6223
1784412469,MPT,3920,13.1768,14.2279
1784412469,JMT,3873,15.7089,10.3982
1784412473,MPT,3934,13.1825,14.2591
1784412473,JMT,3886,15.7065,11.0459
1784412499,MPT,4030,13.2507,15.8827
1784412499,JMT,3969,16.5433,50.2062
1784412503,MPT,4044,13.2573,15.9327
1784412503,JMT,3984,16.5222,48.8673
1784412529,MPT,4140,13.2873,14.6291
1784412529,JMT,4081,16.3850,10.7741
1784412533,MPT,4155,13.2920,14.5568
1784412533,JMT,4096,16.3637,10.7250
1784412559,MPT,4251,13.3239,14.6892
1784412560,JMT,4194,16.2304,10.6460
1784412563,MPT,4265,13.3280,14.6900
1784412563,JMT,4208,16.2131,10.7054
1784412590,MPT,4361,13.3571,14.6382
1784412590,JMT,4305,16.1000,11.2196
1784412594,MPT,4376,13.3575,14.4901
1784412594,JMT,4320,16.0796,11.0643
1784412620,MPT,4473,13.3410,12.7134
1784412620,JMT,4418,15.9404,9.8036
1784412624,MPT,4487,13.3347,12.4429
1784412624,JMT,4433,15.9141,9.5858
1784412650,MPT,4584,13.3278,12.7973
1784412650,JMT,4531,15.7720,9.1885
1784412654,MPT,4599,13.3269,13.0117
1784412654,JMT,4546,15.7525,9.4124
1784412680,MPT,4695,13.3337,13.5757
1784412680,JMT,4644,15.6275,9.8319
1784412684,MPT,4710,13.3352,13.6775
1784412684,JMT,4659,15.6081,9.7982
1784412710,MPT,4806,13.3436,13.7649
1784412710,JMT,4756,15.4974,10.1018
1784412714,MPT,4821,13.3467,13.8369
1784412714,JMT,4771,15.4816,10.2223
1784412740,MPT,4916,13.3805,14.9784
1784412740,JMT,4853,16.1739,49.3443
1784412744,MPT,4931,13.3830,14.9755
1784412744,JMT,4867,16.1583,49.7885
1784412770,MPT,5027,13.4054,14.5182
1784412770,JMT,4965,16.0498,10.6741
1784412774,MPT,5042,13.4093,14.5766
1784412774,JMT,4980,16.0332,10.6416
1784412800,MPT,5138,13.4263,14.3721
1784412801,JMT,5077,15.9320,10.7089
1784412804,MPT,5152,13.4273,14.2518
1784412804,JMT,5092,15.9148,10.6527
1784412831,MPT,5248,13.4442,14.2712
1784412831,JMT,5190,15.8118,10.4142
1784412835,MPT,5263,13.4454,14.2838
1784412835,JMT,5204,15.7986,10.5170
1784412861,MPT,5359,13.4643,14.4236
1784412861,JMT,5302,15.7089,10.9366
1784412865,MPT,5373,13.4725,14.7568
1784412865,JMT,5312,15.8031,16.0185
1784412891,MPT,5469,13.5153,16.0018
1784412891,JMT,5398,16.3217,50.1708
1784412895,MPT,5484,13.5172,15.7045
1784412895,JMT,5413,16.3084,42.8812
1784412921,MPT,5580,13.5339,14.4477
1784412921,JMT,5510,16.2149,11.0670
1784412925,MPT,5594,13.5383,14.5864
1784412925,JMT,5525,16.2002,10.9714
1784412951,MPT,5690,13.5616,14.9700
1784412951,JMT,5622,16.1084,10.8687
1784412955,MPT,5705,13.5676,15.0477
1784412955,JMT,5637,16.0957,10.9438
1784412981,MPT,5800,13.5936,15.2500
1784412981,JMT,5734,16.0114,11.1393
1784412985,MPT,5815,13.5970,15.1200
1784412985,JMT,5749,15.9984,11.1018
1784413011,MPT,5911,13.6172,14.8477
1784413011,JMT,5846,15.9181,11.1455
1784413015,MPT,5925,13.6194,14.8018
1784413015,JMT,5861,15.9049,11.1018
1784413041,MPT,6021,13.6357,14.6309
1784413042,JMT,5958,15.8246,10.9420
1784413045,MPT,6036,13.6398,14.7315
1784413045,JMT,5971,15.8207,11.3345
1784413072,MPT,6131,13.6866,16.4727
1784413072,JMT,6055,16.3344,47.6454
1784413076,MPT,6146,13.6904,16.4636
1784413076,JMT,6069,16.3206,46.4747
1784413102,MPT,6242,13.7038,14.6541
1784413102,JMT,6167,16.2371,10.9768
1784413106,MPT,6256,13.7065,14.6109
1784413106,JMT,6182,16.2261,11.1054
1784413132,MPT,6352,13.7331,15.3964
1784413132,JMT,6279,16.1480,11.2411
1784413136,MPT,6366,13.7371,15.4604
1784413136,JMT,6294,16.1370,11.2143
1784413162,MPT,6462,13.7636,15.5255
1784413162,JMT,6391,16.0660,11.4732
1784413166,MPT,6477,13.7675,15.5245
1784413166,JMT,6405,16.0546,11.4286
1784413192,MPT,6572,13.7970,15.7573
1784413192,JMT,6503,15.9879,11.5268
1784413196,MPT,6587,13.7932,15.3109
1784413196,JMT,6518,15.9704,11.1518
1784413222,MPT,6683,13.8062,14.3523
1784413222,JMT,6600,16.3077,37.7526
1784413226,MPT,6698,13.8024,14.3432
1784413226,JMT,6615,16.2925,37.9381
1784413252,MPT,6794,13.7996,13.4000
1784413252,JMT,6695,16.8079,51.5579
1784413256,MPT,6809,13.8014,13.7432
1784413256,JMT,6709,16.8268,54.4255
1784413282,MPT,6905,13.8106,14.4820
1784413283,JMT,6807,16.7432,12.8750
1784413286,MPT,6919,13.8120,14.4709
1784413287,JMT,6821,16.7319,11.0446
1784413313,MPT,7015,13.8248,14.7182
1784413313,JMT,6918,16.6586,11.4685
1784413317,MPT,7030,13.8292,14.8982
1784413317,JMT,6933,16.6476,11.5179
1784413343,MPT,7125,13.8499,15.4509
1784413343,JMT,7030,16.5777,11.5804
1784413347,MPT,7140,13.8532,15.3900
1784413347,JMT,7045,16.5661,11.5179
1784413373,MPT,7236,13.8724,15.3198
1784413373,JMT,7142,16.4945,11.2768
1784413377,MPT,7250,13.8756,15.3264
